.NET BACKEND DEVELOPER,Veritaz AB,Stockholm,".NET BACKEND DEVELOPERVeritaz is a fast-growing IT-consultant firm. Our company is made up of insanely bright people from over 4 countries, and we are located in Sweden, UK, US and Pakistan. The voyage has been incredible this far, but it is only the beginning.We are currently looking for passionate experienced and result-oriented candidates for the role of a .Net Backend Developer with a professional background and exemplary concepts to join our team.Key Responsibilities: We're looking for a .Net Backend-Developer to our customer.Education, Expertise, and experience requirements: Competency prerequisites for the applicant:
  Write clean, scalable code using C# and .Net Core.
  Excellent troubleshooting and communication skills with, attention to details
  DevOps as natural part of who you are.
  AWS or Azure
  SQL and NoSQL
  TDD or DDD
  Serve as an expert on applications and provide technical support.
  Used to work within a highly distributed IT stack (REST)
  Knowledge on how to design easy to use front-end api’s
  Working in autonomous agile team
 Other: The knowledge & experience of the following is preferred :
  Previous experience orchestrating TM Forum api's using Git Jenkins, REST/GraphQL, Vue JS, AWS technologies (primarily Cloudformation, Lambda, CloudWatch, SNS/SQS)
  BEM
  Amazon
  ElastiCache
  DynamoDb
 Scope: 100%Location: StockholmSo, what are you still waiting for? Join us on our adventure!Job Type: Full-timeApplication Question(s):
  Are you based in Sweden?
  Do you have a work permit in Sweden?
 ",https://se.indeed.com/viewjob?from=appsharedroid&jk=32248dfc8ca62c81
.NET Developer,Sii,Stockholm,"
  
   Possible location 
   
    
     Stockholm
    
   
  
  
    Technologies & tools 
   
     Must have:
    
      C#
      .NET
      Jenkins
      Azure DevOps
      Bamboo
      Bitbucket
      Scrum
    
   
   
     Nice-to-have:
    
      React
      Angular
      Docker
      Kubernetes
    
   
  
  
  
    Sii Sweden AB is a subsidiary of Sii Poland (sii.pl/en) – the leader in IT, engineering, and consultancy services hiring over 6500 IT experts in Poland with more than 200 prestigious customers. We have opened our subsidiary in Stockholm and we are looking for ambitious and top-quality professionals to join our project teams.
    Working at Sii gives you an opportunity to participate in various projects for different clients that represent almost all sectors of the economy and many different countries besides Sweden.
    Your role 
   
   
     Building new features and integrations within both .NET onboarding applications, as well as maintenance and support of existing components
     Becoming a part of a multidisciplinary Tribe of enthusiastic people, dedicated to specific projects and products
     Creating well-crafted and thoroughly tested features, taking full responsibility from the design phase to the production deployment
     Working on innovative products, with high-quality technical solutions and architecture that will be delivered through scrum iterations
   
    Your skills 
   
    Solid experience in C# and .NET (framework or core) development
     Hands-on CI/CD way of working (knowledge of Jenkins/Azure DevOps/BitBucket/Bamboo)
     Good understanding of clean code principles
     Excellent English communication skills (both verbal and written)
     Knowledge of JavaScript frameworks (React/Angular) is nice to have
     Experience in micro-service or serverless architectures (knowledge of Docker/Kubernetes) will be an asset
   
    Job no. 220414-CCTLG
  
 
  
   Why Sii
  
  
   
      Great Place to Work since 2015 
    
      it’s thanks to our workers’ opinions that we get the title and implement new ideas
    
   
   
       Dozens of fascinating projects 
    
      for prestigious brands from all over the world, based on a variety of technologies
    
   
   
       7 000 experts 
    
      to learn from and share your experience with
    
   
   
       Financial stability 
    
      revenue of 225 EUR M, no debts, preferred supplier status for many clients
    
   
   
       True values 
    
      these are not empty words – we’re guided by them every day
    
   
   
       Employment stability 
    
      Is your project coming to an end? Do you want to change it? We’ll find you a new one! We have an app for this – Job Changer
    
   
   
       Friendly management 
    
      quick decision-making, we’re all on a first-name basis
    
   
   
       Investment in your growth 
    
      meetups, webinars, training platform and technology blog – you choose
    
   
   
       Comfortable office 
    
      in the center of Stockholm
    
   
   
       Fantastic atmosphere 
    
      created by all Power People
    
    Show more Show less
  
 ",https://se.indeed.com/viewjob?from=appsharedroid&jk=dda472d6bab1c3b3
".NET Developer - .NET Core, Azure, C#",Nigel Frank International Limited,Stockholm,"
  
   Company: Product development
    Job Title: Senior .NET Developer
    Tech Stack: .NET, .NET Core, C#, Azure
    Location: Stockholm (in office 1 day per week - 4 days remote)
    
    
   We are now working with a market leading product development company who work within the freelance industry. They help both companies and consultants to manage time sheets, payroll and consultant assignment matching. They make the process of freelancing easier for both client and consultant by developing efficient and easy to use SaaS platforms which are all entirely based on Cloud and integrated into multiple different environments.
    Each service has its own SaaS platform which does something different. One service is time sheet services to help consultants to efficiently log their time sheets to their clients. This platform logs all time and evaluates how much a consultant is invoicing and then allowed the company to view and monitor these time sheets in an easy way.
    Another service is payroll and helping companies and consultants to correctly manage their payments. From a freelance perspective it means the consultant knows exactly what they are being paid and allows the companies to easily figure out how much they are paying their consultants.
    Lastly their is a service aimed at helping match consultants to assignments. Companies can log their requirements on the platform from tech to the aim of a project and this will then match with available consultants who are able and skilled to work on that assignment making the entire process much more efficient and beneficial to both parties.
    With growing demand for their services the company are now in a phase of growth and looking expand their development teams over the next 6 months. As such we are looking for developers to join this in house role and help not only expand the team but expand the services they can provide and create new platforms for new customers and services.
    The environment is entirely based around Microsoft technologies with a primary focus on .NET Core and Azure for development with added use of .NET and C#. There is also a small element of front end development ensuring that the back end not only works to an extremely high standard but also that customers can view their information in an eye friendly and easy manor.
    The experience we are looking for is:
   
     Strong background in back end development with 3 years' experience.
     A core focus on Microsoft development tools (.NET/C#) with .NET Core being a huge benefit.
     Cloud exposure with Microsoft Azure being high priority.
     REST API development experience OR experience integrating systems.
     Any Front end experience with React OR Angular would be beneficial.
   
    
    
   For your work you will receive:
   
     Huge impact on the direction of projects and use of technology.
     Working in a team orientated environment where everyone is in it together.
     Regular team events and social events.
     Fantastic management and technical leadership from extremely well experienced leaders.
     Wellness allowance
     Pension contributions
     Great salaries
     Remote working with 1 day in office per week (Get the best of both worlds!)
   
    
    
   We are actively looking to recruit for these positions as soon as possible and anticipate a high volume of applications for this role. If you are interested it is strongly advised to apply ASAP on the email below to ensure this role isn't filled before. Get in touch at a.colbeck@nigelfrank.com to find out more!
  
 ",https://se.indeed.com/viewjob?from=appsharedroid&jk=1d78f2644bdf93b5
.NET Developer - Fintech company (Fully remote within sweden),Jefferson Frank,StockholmDistans,"Sweden

50000 to 51000 SEK
Other Role
Skills: Backend Developer
Level: Senior.NET Developer - Fintech company (Fully remote within sweden)
HR/31/01/22/1_1643645903
Nigel Frank International are pleased to announce that we're Working with an international fin-tech company that work in the pensions and insurance industry. They specialize in advising companies and people in what is best for them. They work on Green field development in .NET, .NET Core and are also moving all of their front end over to Blazor.


Skills & Qualifications

.NET development - 5+ years' experience..NET, .NET Core, C#
Benefits

Pension 10%.Wellness allowance.Training.Insurances,Flexi time,25 days holiday
In addition to this you can work for this company fully remote within Sweden.",https://se.indeed.com/viewjob?from=appsharedroid&jk=40aa4a378c741efd
.NET Developers of All Levels - Linkoping,Nigel Frank International Limited,Linköping,"
  
   I have an exciting role for .NET developers of all levels in Linköping!
    
    
   My client prides themselves on having an extremely social working environment. This is promoted through the huge emphasis placed on sharing knowledge between teams and management providing assistance when needed.
    
    
   Due to the companies continuous organic expansion, they are looking to fill multiple roles! My client are in search of people with a Bachelors / Masters degree in an IT related field with experience in .NETCore, SQL, Azure / AWS, Windows Servers, iOS/ Android / Web Development. Additionally, they are also open to hiring graduates who have a front-end focus and would like to build their experience in IOS and/ or .NET.
    
    
   If you would be interested in hearing more, please contact me via email, phone or LinkedIn and we can arrange to speak in more detail. I am looking forward to hearing from you.
  
 ",https://se.indeed.com/viewjob?from=appsharedroid&jk=0dcd0f3e59c39315
.Net Full Stack Developer,K&K social resources & development GmbH,411 01 Göteborg,".Net Full Stack Developer
Standort: Göteborg
Anstellungsart(en): Vollzeit

Role: .Net Full Stack Developer

Role: .Net Full Stack Developer
Employment Type: Full time permanent
Start Date: ASAP
Location: Gothenburg, Sweden

Key Responsibilities:
Take a part in building our brand-new advanced solution as well as maintaining the existing one Participate in the full development cycle and impact on requirement definitions, design, implementation, unit testing and shipping Participate in choosing the technology and frameworks used in our system Show it works (write automated tests) Deliver to production

Job description:
8+ years of experience in creating software using front-end technologies like JavaScript, JQuery, TypeScript and Angular
8+ years of experience in creating software using back-end technologies in Microsoft area: C#, .NET,MVC, .Net Core, WebAPI, WCF
Strong hands-on experience of working on Angular 3+ applications
To develop, configure, customize, and perform testing of the system as per the functional specifications and provide technical guidance to junior software engineers.
Exposure to latest version controls and CI/CD Experience in working with Agile methodology.
Team player with positive spirit and good communication
Bachelor’s degree in computer science or equivalent
Skills:
.NET/ASP.NET/C# (mandatory)
JavaScript (mandatory)
TypeScript (mandatory)
Angular (mandatory)
Azure DevOps (good to have)

K&K Social resources & development GmbH, is an international recruiting agency who is providing technical resources in European region since 1993. This position is for our client who is actively hiring candidates.

Abteilung(en): IT",https://se.indeed.com/viewjob?from=appsharedroid&jk=93c838b29371f17d
.NET Full Stack Developers - Sweden,Explipro,417 55 Göteborg,"Qualified female .NET Fullstack developers are encouraged to apply!

Are you interested in relocating to Europe and Sweden and working on-site with leading tech companies?

We are a consultancy company working on our customers' most exciting projects. If you want to work with the latest technologies and experience the Swedish work culture and society with great work-life balance and many other benefits please continue reading!
About you
We are looking for you who have a personal drive and the ability to simplify complex problems. You are comfortable working in teams and value effective communication.

At least 6 years of related work experience in .NET, C, MVC and .NET Core with hands-on experience preferably with front-end development (React, Angular, Typescript).
Experience in Microservices architecture (REST or SOA).
Experience with Azure Cloud Services, Azure Functions is a plus.
Good to have experience on CI/CD pipelines.
Hands-on experience with any SQL/NoSql Databases.
Strong English communications skills.
About Explipro
We have a long experience of recruiting internationally and help all our employees in the relocation to Sweden and to start a life here.
Our natural approach is helpfulness and simplicity. We like challenges and we help each other and our customers to solve problems of different kinds. It is important for us that you appreciate our values and that you are eager to contribute to making us grow together.
Career Growth Opportunities – being a consultancy company keeps variety in your work and new opportunities happening all the time! We have a long-term perspective on our consultants and invest in competence development and individual career plans.
Welcome to your application!
Benefits in Sweden
Competitive salaries
Work Flexibility / TimeBank
️ Paid vacation of 25 working days
Hybrid work (according to customer requirements)
Fitness Allowance (up to 4000sek)
Parental Leave (up to 480 days per child)
Healthcare
Sickness and Disability leave
️ Counseling from a psychologist, economist, lawyer, or health counselor",https://se.indeed.com/viewjob?from=appsharedroid&jk=37f8ef93150eddbb
.NET Software Developer,Medius,HelsingborgDistans,"
  
   Medius is a Swedish company with headquarter in Linkoping. We have offices spread around the world - Europe, North America and Australia. We provide our solutions as SaaS.  Medius is a leading provider of cloud-based spend management solutions. Spend management doesn’t ring a bell? This term describes the process from placing an order through its delivery, verification, invoicing to its payment. Our products help companies at every step of the purchasing process, increasing its security and speeding it up.  The most important thing to our organization is our employees – and we really mean it. 
    The Medius Capture team develops, and operates, Medius machine learning based invoice data capture service. The team is currently 14 people strong, and still growing! Our team is spread over three sites; Cracow, Helsingborg and Stockholm. You will have the possibility to work remote some days to be able to combine your personal life and work life in a good way. 
   
  .NET Software Developer 
  
    What will you do?
   
  
   Develop new features according to agile practices 
   Choose best technologies and solutions to build our cloud service - the future of the product will be in your hands 
   Working in a cross-functional team of professionals that really care about their work and support each other 
  
  
   What kind of experience should you have?
   
  
   Solid knowledge in C# and .NET technologies 
   Experience in code testing practices 
  
  
   Nice to have:
   
  
   Experience in Azure Cloud 
   Experience with distributed systems and microservices 
   Experience with actor based programming models 
   Experience with frontend frameworks like React or similar 
   
  What are we offering? 
   With the fact that you will work with a fantastic, creative and funny team. The position is full time and Medius has a great benefit package and we offer team breakfasts, occasional events and an awesome fika. 
   Sounds interesting? If so, send your application!
 ",https://se.indeed.com/viewjob?from=appsharedroid&jk=c709dcf117b4394c
.NET Utvecklare,Ninum AB,223 63 Lund,"Som anställd på Ninum kommer du att ingå i ett dynamiskt team där nya idéer och kreativitet blomstrar. Tillsammans bildar vi en gemenskap där vi uppmuntrar och lär av varandra. Det finns plats för såväl personlig utveckling som professionell utveckling på Ninum. Vi har ett stort förtroende för alla i vårt team och samtliga teammedlemmar uppmuntras till att bidra och ta ansvar. Samtidigt som vi aktivt söker nya talanger så vårdar vi de individer som arbetar hos oss.
Vi söker dig som gärna ser dig själv som en engagerad utvecklare med ett brett tekniskt intresse. Kanske är du en Fullstack utvecklare och föredrar att arbeta med hela kedjan? Kanske föredrar du att fokusera på Backend och låta andra ta hand om Frontend? Oavsett så är vi intresserade av att få tala med dig om möjligheterna och fördelarna att arbeta hos oss på Ninum.
Vi erbjuder möjligheter att utvecklas med stor frihet i uppdrag i den riktning som passar ditt intresse, vår marknad och våra gemensamma erfarenheter. Vår ambition är att utvidga vårt team med nya kollegor som vill vara med och bygga Ninums framtid och kultur.
Personliga egenskaper som vi letar efter:
Ambitiös, ihärdig, kreativ, prestigelös, positiv och hög servicekänslaSjälvgående lagspelare, tar egna initiativStort intresse för utveckling, människor och teknik
Erfarenheter som vi gärna ser att du har med dig:
Ett antal års erfarenhet av utveckling i .NETFörmåga att omvandla affärslogik till IT-lösningarVana av agila och andra utvecklingsmodellerErfarenhet av JavaScript, Angular, React, Vue etc. är ett plusHögskole-/civilingenjörsexamen",https://se.indeed.com/viewjob?from=appsharedroid&jk=e6fe5cd4aa9829ae
.NET utvecklare,Maksimer,506 30 BoråsDistans,"Vi på Maksimer AB har som ambition att leverera e-handelslösningar som överträffar våra kunders förväntningar och söker nu en .NET-utvecklare, med driv och passion, till att utveckla kvalitativa och hållbara e-handelslösningar åt våra kunder. Är det du? Du kommer i så fall ha möjligheten att fylla en rolig och viktig roll i vårt team som i dagsläget består av fyra personer.
Maksimer startades i Norge 2009 och har sedan dess levererat e-handelslösningar till sina kunder med stor framgång. Maksimer har sedan tidigare kontor i Norge och Serbien med 45 anställda, vilket ger oss en stabil grund ekonomiskt och kompetensmässigt när vi nu etablerar oss i Sverige.
Om tjänsten
Som .NET-utvecklare hos Maksimer AB kommer du primärt att arbeta med utveckling av e-handelslösningar i Litium som är en plattform byggt som en ASP .NET-applikation på .NET 5 med inslag av react och angular. Inom ramen för våra e-handelslösningar kommer du hantera kundanpassningar av både frontend och backend i Litiums plattform men också skapa skräddarsydda lösningar och integrationer efter behov.
Eftersom vi är ett litet team så kommer du utöver utveckling också vara med och leda projekt genom dialog med kund, planering samt delaktighet i förstudier och kravspecifikationer, allt i nära samarbete med resten av teamet.
Inom ramen för din tjänst erbjuds också:

Flexibla arbetstider
Arbeta remote eller på kontor
Friskvård
Kompetensutveckling
Utmanande och givande projekt
Om dig
Du är en prestigelös person som trivs med att arbeta i ett mindre bolag med snabba beslutsvägar. Du vill arbeta i ett litet team där du precis som vi strävar efter att leverera med kvalité och tar ansvar för dina lösningar och leveranser.
Vi ser det som nödvändigt att du har god kunskap och erfarenhet inom följande:

C
.NET
HTML
CSS

Följande erfarenheter ser vi som meriterande men inte ett måste:

Javascript
React
Angular
Docker
Elasticsearch
Litium
Kontakt
För mer information om tjänsten kan du alltid kontakta Therese Bengtsson på telefon +46 708480151 eller therese.bengtsson@maksimer.com",https://se.indeed.com/viewjob?from=appsharedroid&jk=9aefd97f7cc8dad2
